"SR","FRic","FEve","FDiv","FDis","RaoQ","kde.alpha","kde.evenness","kde.dispersion","sev.blackplots","n_trait","traits","mean_cor","min_cor","max_cor"
4,3.44912864498192,0.461685168795752,0.860235090591033,0.817536428853107,1.07264928302081,0.909085639854538,0.569250261123869,0.497766644050115,71.6666666666667,2,1,NA,NA,NA
5,1.76748449547536,0.418094494660426,0.992151507095963,1.03210925412646,1.21589080745755,0.33523955323218,0.533154149107959,0.384001195443212,64.1119221411192,2,1,NA,NA,NA
2,NA,NA,NA,0.671295321970986,0.909103688846577,0.803950493190196,0.722985538984563,0.569215986340357,80.8219178082192,2,1,NA,NA,NA
3,0.0208776777320691,0.31771036004001,0.829613400856513,0.355807222940807,0.128867443727481,0.0154694087651438,0.684164046965354,0.126925551280529,56.6176470588235,2,1,NA,NA,NA
5,2.64740063374473,0.474271246917776,0.800543243850532,0.0901160080485748,0.0929605386692871,0.34019074068146,0.481683492773929,0.318878761576042,95.1456310679612,2,1,NA,NA,NA
6,2.17829835115548,0.733017617941563,0.953690065776541,0.341542011429595,0.37079982148521,0.350402042682796,0.462284891217935,0.326390778365451,86.2985685071575,2,1,NA,NA,NA
4,0.837201608418026,0.748104695526281,0.51509464928372,0.548109179319259,0.308473424371656,0.259588050115299,0.629861554929013,0.294018691788268,45.4545454545455,2,1,NA,NA,NA
5,1.44426929087099,0.181802068577179,0.54099742540014,0.362702045625111,0.175721649908781,0.342771140604551,0.423280122872681,0.310108804732147,50.6535947712418,2,1,NA,NA,NA
7,2.39341410865071,0.612964016248334,0.546084784821897,0.463846333646775,0.290589354435142,0.28857385642714,0.467361967849021,0.283076192445073,46.5116279069767,2,1,NA,NA,NA
3,1.22067172833883,0.0682191026164716,0.995713185193996,0.0737097577292506,0.0868304241542832,0.370542745144366,0.549215897674534,0.357071652501371,98.396501457726,2,1,NA,NA,NA
4,0.882423474759952,0.45114073859277,0.909842965588549,1.28346483325878,1.72794555314181,0.489523422344207,0.730999117963202,0.427205516471552,55.2825552825553,2,1,NA,NA,NA
5,3.41586828956852,0.606965240936968,0.958909494902703,1.36813221232757,2.12293315626773,0.870357008255787,0.553917974960939,0.497557538733754,50.1022494887526,2,1,NA,NA,NA
2,NA,NA,NA,0.0634227536566752,0.0417583324614475,0.0898588029915977,0.598028277304413,0.233555044854597,87.7777777777778,2,1,NA,NA,NA
7,5.19787509421928,0.354337448897895,0.881120961164087,1.32624933081642,2.07301623095401,0.824129099268979,0.480186224098485,0.476374924188941,1.06609808102345,2,1,NA,NA,NA
5,4.44227724883788,0.650412324481999,0.710057194267226,1.05588881666204,1.51601195795681,0.938900829450316,0.614169452503505,0.505911246634619,65.7051282051282,2,1,NA,NA,NA
3,0.341995104843627,0.963590373391847,0.958815556066546,0.629245875776638,0.410171251526771,0.191542791628082,0.506220873473859,0.23721527417094,57.5,2,1,NA,NA,NA
4,3.21023045173423,0.694489321325976,0.699555982229229,1.25203954227079,1.84279471683785,1.01950456018394,0.629598574055513,0.535513422259823,40.5940594059406,2,1,NA,NA,NA
4,0.299698029214345,0.251300610464083,0.981859624272849,0.0862804530931367,0.064669996391449,0.0569463063586282,0.473970325802983,0.227701162378605,96,2,1,NA,NA,NA
2,NA,NA,NA,0.450109135232662,0.582793216710847,1.20797090470323,0.672616371846708,0.577328141393879,90.3846153846154,2,1,NA,NA,NA
6,2.74004555313457,0.390642974958025,0.963417055320231,0.966464120766034,1.12476109591217,0.497928304221709,0.558248587007526,0.3861252125356,61.1570247933884,2,1,NA,NA,NA
3,1.78338924506155,0.241806179305324,0.98586323402704,0.460353157170307,0.604911161544193,0.759728692610301,0.605506988795084,0.466106978357523,84.5714285714286,2,1,NA,NA,NA
2,NA,NA,NA,0.0631189452810333,0.0415583012356937,0.088819129753501,0.600962085856411,0.238268082443773,96.3592233009709,2,1,NA,NA,NA
3,0.69633010936513,0.769425275298075,0.526121368695487,0.556479460785186,0.373338730870528,0.360308172158493,0.587073383033488,0.341058237798878,59.5141700404858,2,1,NA,NA,NA
3,1.8836862297056,0.870670117546146,0.634005668403432,0.42422973358429,0.393834802323914,0.679218361377124,0.523337503369276,0.430564225738628,12.9854368932039,2,1,NA,NA,NA
3,2.66393399706208,0.344803062076118,0.999258686385464,0.783812192531639,1.06539557462534,1.01311195796288,0.607573974426046,0.545099643364738,80.590717299578,2,1,NA,NA,NA
